SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,AD_K,       16.30
01/19/2016 09:55:12,N,AD_KH,       16.30
01/19/2016 09:55:12,N,AD_KU,       16.30
01/19/2016 09:55:12,N,AE_K,       16.27
01/19/2016 09:55:12,N,AE_KO,       16.27
01/19/2016 09:55:12,N,AE_KP,       16.27
01/19/2016 09:55:12,N,AFTO_L_A,       16.52
01/19/2016 09:55:12,N,AF_K,       16.30
01/19/2016 09:55:12,N,AF_KY,       16.30
01/19/2016 09:55:12,N,AF_KZ,       16.30
01/19/2016 09:55:12,N,AGNES,       16.48
01/19/2016 09:55:12,N,AGR_A,       16.30
01/19/2016 09:55:12,N,AGR_B,       16.30
01/19/2016 09:55:12,N,AGR_C,       16.30
01/19/2016 09:55:12,N,AGR_D,       16.30
01/19/2016 09:55:12,N,AILN_L_A,       16.52
01/19/2016 09:55:12,N,AIR5200B,       16.53
01/19/2016 09:55:12,N,AIR5TR1,       16.53
01/19/2016 09:55:12,N,AIRCO4_L_A,       15.80
01/19/2016 09:55:12,N,AIRCO_8,       16.47
01/19/2016 09:55:12,N,AIRLINE_L_A,       14.47
01/19/2016 09:55:12,N,AIRLINE_L_B,       14.47
01/19/2016 09:55:12,N,AIRLINE_L_C,       14.47
01/19/2016 09:55:12,N,AIRLINE_L_D,       14.47
01/19/2016 09:55:12,N,AIRLINE_MOB,       14.47
01/19/2016 09:55:12,N,AIRLINE_V_A,       14.47
01/19/2016 09:55:12,N,AIRLINE_V_B,       14.47
01/19/2016 09:55:12,N,AIRLINE_V_C,       14.47
01/19/2016 09:55:12,N,AIRLINE_V_D,       14.47
01/19/2016 09:55:12,N,AIRLIQD1T_8Y,       16.47
01/19/2016 09:55:12,N,AIRLIQD1_8,       16.48
01/19/2016 09:55:12,N,AIRMOBILE,       16.53
01/19/2016 09:55:12,N,AIRPARK_8Z,       16.55
01/19/2016 09:55:12,N,AIRPORT_AG1,       12.51
01/19/2016 09:55:12,N,AIRPRD1_8X,       16.47
01/19/2016 09:55:12,N,AIRPRD1_8Y,       16.47
01/19/2016 09:55:12,N,AIRPRD1_8Z,       16.47
01/19/2016 09:55:12,N,AIRPRT69T,       12.51
01/19/2016 09:55:12,N,AIRP_EB,       12.51
01/19/2016 09:55:12,N,AIRP_L_A,       16.69
01/19/2016 09:55:12,N,AIRP_V_A,       16.69
